Title,Description,Vintage,Dataset Name,Dataset Type,Geography List,Variable List,Group List,SortList,Examples,Developer Documentation,API Base URL,Survey,Subtype1,Subtype2,Subtype3,Month,identifier,id_name,SurveyID,Has Example,Has Sort,Has Geography
May 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›may,Microdata,http://api.census.gov/data/1989/cps/basic/may/geography.html,http://api.census.gov/data/1989/cps/basic/may/variables.html,http://api.census.gov/data/1989/cps/basic/may/groups.html,http://api.census.gov/data/1989/cps/basic/may/sorts.html,http://api.census.gov/data/1989/cps/basic/may/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/may,cps,basic,,,May,https://api.census.gov/data/id/CPSBASIC198905,CPSBASIC198905,CPSBASIC198905,Has Example,No Sort,Has Geography
Nov 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›nov,Microdata,http://api.census.gov/data/1989/cps/basic/nov/geography.html,http://api.census.gov/data/1989/cps/basic/nov/variables.html,http://api.census.gov/data/1989/cps/basic/nov/groups.html,http://api.census.gov/data/1989/cps/basic/nov/sorts.html,http://api.census.gov/data/1989/cps/basic/nov/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/nov,cps,basic,,,Nov,https://api.census.gov/data/id/CPSBASIC198911,CPSBASIC198911,CPSBASIC198911,Has Example,No Sort,Has Geography
Oct 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›oct,Microdata,http://api.census.gov/data/1989/cps/basic/oct/geography.html,http://api.census.gov/data/1989/cps/basic/oct/variables.html,http://api.census.gov/data/1989/cps/basic/oct/groups.html,http://api.census.gov/data/1989/cps/basic/oct/sorts.html,http://api.census.gov/data/1989/cps/basic/oct/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/oct,cps,basic,,,Oct,https://api.census.gov/data/id/CPSBASIC198910,CPSBASIC198910,CPSBASIC198910,Has Example,No Sort,Has Geography
Sep 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›sep,Microdata,http://api.census.gov/data/1989/cps/basic/sep/geography.html,http://api.census.gov/data/1989/cps/basic/sep/variables.html,http://api.census.gov/data/1989/cps/basic/sep/groups.html,http://api.census.gov/data/1989/cps/basic/sep/sorts.html,http://api.census.gov/data/1989/cps/basic/sep/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/sep,cps,basic,,,Sep,https://api.census.gov/data/id/CPSBASIC198909,CPSBASIC198909,CPSBASIC198909,Has Example,No Sort,Has Geography
1990 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",1990.0,cbp,Aggregate,http://api.census.gov/data/1990/cbp/geography.html,http://api.census.gov/data/1990/cbp/variables.html,http://api.census.gov/data/1990/cbp/groups.html,http://api.census.gov/data/1990/cbp/sorts.html,http://api.census.gov/data/1990/cbp/examples.html,http://www.census.gov/developer/,http://api.census.gov/data/1990/cbp,cbp,,,,,http://api.census.gov/data/id/CBP1990,CBP1990,CBP1990,Has Example,No Sort,Has Geography
Apr 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›apr,Microdata,http://api.census.gov/data/1990/cps/basic/apr/geography.html,http://api.census.gov/data/1990/cps/basic/apr/variables.html,http://api.census.gov/data/1990/cps/basic/apr/groups.html,http://api.census.gov/data/1990/cps/basic/apr/sorts.html,http://api.census.gov/data/1990/cps/basic/apr/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/apr,cps,basic,,,Apr,https://api.census.gov/data/id/CPSBASIC199004,CPSBASIC199004,CPSBASIC199004,Has Example,No Sort,Has Geography
Aug 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›aug,Microdata,http://api.census.gov/data/1990/cps/basic/aug/geography.html,http://api.census.gov/data/1990/cps/basic/aug/variables.html,http://api.census.gov/data/1990/cps/basic/aug/groups.html,http://api.census.gov/data/1990/cps/basic/aug/sorts.html,http://api.census.gov/data/1990/cps/basic/aug/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/aug,cps,basic,,,Aug,https://api.census.gov/data/id/CPSBASIC199008,CPSBASIC199008,CPSBASIC199008,Has Example,No Sort,Has Geography
Dec 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›dec,Microdata,http://api.census.gov/data/1990/cps/basic/dec/geography.html,http://api.census.gov/data/1990/cps/basic/dec/variables.html,http://api.census.gov/data/1990/cps/basic/dec/groups.html,http://api.census.gov/data/1990/cps/basic/dec/sorts.html,http://api.census.gov/data/1990/cps/basic/dec/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/dec,cps,basic,,,Dec,https://api.census.gov/data/id/CPSBASIC199012,CPSBASIC199012,CPSBASIC199012,Has Example,No Sort,Has Geography
Feb 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›feb,Microdata,http://api.census.gov/data/1990/cps/basic/feb/geography.html,http://api.census.gov/data/1990/cps/basic/feb/variables.html,http://api.census.gov/data/1990/cps/basic/feb/groups.html,http://api.census.gov/data/1990/cps/basic/feb/sorts.html,http://api.census.gov/data/1990/cps/basic/feb/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/feb,cps,basic,,,Feb,https://api.census.gov/data/id/CPSBASIC199002,CPSBASIC199002,CPSBASIC199002,Has Example,No Sort,Has Geography
Jan 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›jan,Microdata,http://api.census.gov/data/1990/cps/basic/jan/geography.html,http://api.census.gov/data/1990/cps/basic/jan/variables.html,http://api.census.gov/data/1990/cps/basic/jan/groups.html,http://api.census.gov/data/1990/cps/basic/jan/sorts.html,http://api.census.gov/data/1990/cps/basic/jan/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/jan,cps,basic,,,Jan,https://api.census.gov/data/id/CPSBASIC199001,CPSBASIC199001,CPSBASIC199001,Has Example,No Sort,Has Geography
Jul 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›jul,Microdata,http://api.census.gov/data/1990/cps/basic/jul/geography.html,http://api.census.gov/data/1990/cps/basic/jul/variables.html,http://api.census.gov/data/1990/cps/basic/jul/groups.html,http://api.census.gov/data/1990/cps/basic/jul/sorts.html,http://api.census.gov/data/1990/cps/basic/jul/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/jul,cps,basic,,,Jul,https://api.census.gov/data/id/CPSBASIC199007,CPSBASIC199007,CPSBASIC199007,Has Example,No Sort,Has Geography
Jun 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›jun,Microdata,http://api.census.gov/data/1990/cps/basic/jun/geography.html,http://api.census.gov/data/1990/cps/basic/jun/variables.html,http://api.census.gov/data/1990/cps/basic/jun/groups.html,http://api.census.gov/data/1990/cps/basic/jun/sorts.html,http://api.census.gov/data/1990/cps/basic/jun/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/jun,cps,basic,,,Jun,https://api.census.gov/data/id/CPSBASIC199006,CPSBASIC199006,CPSBASIC199006,Has Example,No Sort,Has Geography
Mar 1990 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1990.0,cps›basic›mar,Microdata,http://api.census.gov/data/1990/cps/basic/mar/geography.html,http://api.census.gov/data/1990/cps/basic/mar/variables.html,http://api.census.gov/data/1990/cps/basic/mar/groups.html,http://api.census.gov/data/1990/cps/basic/mar/sorts.html,http://api.census.gov/data/1990/cps/basic/mar/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1990/cps/basic/mar,cps,basic,,,Mar,https://api.census.gov/data/id/CPSBASIC199003,CPSBASIC199003,CPSBASIC199003,Has Example,No Sort,Has Geography
