dataset_name,year,title,variable_name,label,concept,predicateType,group,limit,attributes,decade
cbp,1987,1987 County Business Patterns: Business Patterns,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,GEO_TTL,Title of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,ST,FIPS State Code,Selectable Geographies,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,SIC_TTL,Title of SIC code,CBP County Level Variables,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,EMP,Total Number of Employees,Employer Statistics,int,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,SIC,SIC Industry Code,CBP County Level Variables,string,N/A,1106,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,GEO_ID,ID of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,GEOTYPE,Geography type,Selectable Geographies,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,YEAR,Year,Employer Statistics,string,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,ESTAB,Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,PAYANN,Total Annual Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,EMPSZES,Employment size of establishment,Employer Statistics,string,N/A,14,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,PROGRAM,PROGRAM,CBP County Level Variables,string,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,EMP_F,Flag for Number of employees,Employer Statistics,string,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,COUNTY,FIPS County Code,Selectable Geographies,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,GEO_TTL,Title of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,ST,FIPS State Code,Selectable Geographies,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,SIC_TTL,Title of SIC code,CBP County Level Variables,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,EMP,Total Number of Employees,Employer Statistics,int,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,SIC,SIC Industry Code,CBP County Level Variables,string,N/A,1106,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,GEO_ID,ID of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,GEOTYPE,Geography type,Selectable Geographies,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,YEAR,Year,Employer Statistics,string,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,ESTAB,Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,PAYANN,Total Annual Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,EMPSZES,Employment size of establishment,Employer Statistics,string,N/A,14,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,PROGRAM,PROGRAM,CBP County Level Variables,string,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,EMP_F,Flag for Number of employees,Employer Statistics,string,N/A,0,,1980s
cbp,1988,1988 County Business Patterns: Business Patterns,COUNTY,FIPS County Code,Selectable Geographies,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,GEO_TTL,Title of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,ST,FIPS State Code,Selectable Geographies,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,SIC_TTL,Title of SIC code,CBP County Level Variables,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,EMP,Total Number of Employees,Employer Statistics,int,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,SIC,SIC Industry Code,CBP County Level Variables,string,N/A,1106,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,GEO_ID,ID of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,GEOTYPE,Geography type,Selectable Geographies,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,YEAR,Year,Employer Statistics,string,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,ESTAB,Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,PAYANN,Total Annual Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,EMPSZES,Employment size of establishment,Employer Statistics,string,N/A,14,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,PROGRAM,PROGRAM,CBP County Level Variables,string,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,EMP_F,Flag for Number of employees,Employer Statistics,string,N/A,0,,1980s
cbp,1989,1989 County Business Patterns: Business Patterns,COUNTY,FIPS County Code,Selectable Geographies,,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,ucgid,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HG_FIPS,Geography-FIPS state code,,,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXWHYNL,Labor Force-reasons not looking for work (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_UNTYPE,Labor Force-reason,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_TENURE,Household-tenure,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXWHYNA,Labor Force-why not (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_ENRLW,School Enrollment-enrolled/attending an inst. of educ.,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXLIVQRT,Household-living quarters (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFFTPT,Labor Force-full-time/part-time status,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXMAJACT,Labor Force-activities last week (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_AGE,Demographic-age,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXHSCOL,School Enrollment-institution (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXPARENT,Demographic-parent's line number (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXHGC,Allocation Flag for A_HGC,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_OCC,Indus.&Occ.-(main job)occupation code,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_FAMNUM,Demographic-family number,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_CLSWKR,Indus.&Occ.-class of worker,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXHGA,"Demographic-highest deg., grade completed (allocation flag)",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_HRSCHK,Labor Force-interviewer check,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_CHKWJ,Indus.&Occ.-interviewer check item,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HG_CMSA,Geography-CMSA code,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_EXPLF,Labor Force-employment status,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_FTLF,Labor Force-f/t labor force,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_HRS1,Labor Force-total hours worked,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXUSLHRS,Earnings-hours/week worked (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_RACE,Demographic-race,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MJOCC,Indus.&Occ.-major occupation code,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_OVRTIM,Labor Force-overtime worked,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXFTABS,Labor Force-hours worked/week (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXPAYABS,Labor Force-paid absences (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_ID,Household-unique household identifier,,string,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXCLSWKR,Indus.&Occ.-class of worker (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXTELAVL,Household-telephone available (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXVET,Demographic-veteran status (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXHHNUM,Household-household number (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_USLFT,Labor Force-hours usually worked/week,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_WKSCH,Labor Force-time worked/lost,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_HSCOL,School Enrollment-institution,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFREL,Demographic-primary family relationship,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXRACE,Demographic-race (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_ANYWK,Labor Force-work,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_EMP,Labor Force-employed persons,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_TIMINT,Household-time of interview,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXWKSLK,Labor Force-number of weeks laid off (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_TYPINT,Household-type interview,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXMTHD,Labor Force-attempts to look for work (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_LKFTPT,Labor Force-full-time/part-time,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXJOBABS,Labor Force-absence from job (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXHRSCHK,Labor Force-interviewer check (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXLINENO,Demographic-line number (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_METSTA,Geography-metropolitan/non-metropolitan,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXOCCINT,Household-unit occupancy (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_SEX,Demographic-sex,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFNOCD,Demographic-# of children < 18,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_DAYCMP,Household-day interview complete,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HG_MSSZ,Geography-MSA size,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_FAMINC,Household-family income,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXHRSPAY,Earnings-hourly earnings (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFSIZE,Demographic-size,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_MONTH,Household-month of survey,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_DTOCC,Indus.&Occ.-detailed occupation code,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXTIMINT,Household-time of interview (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_WHYNA,Labor Force-why not,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXAVAIL,Labor Force-available job (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_AG_NA,"Indus.&Occ.-agriculture, non-agriculture",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXLKWK,Labor Force-looking for work (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXENRLW,School Enrollment-enrolled/attend a school(allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_ERNEL,Earnings-eligibility,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_CPSCHK,Household-interviewer check item,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFPRCD,Demographic-children < 18 in primary family,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_TELAVL,Household-telephone available,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_WKSTAT,Labor Force-full/part-time status,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXAREASN,Household-reason (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD6,Labor Force-nothing,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD5,"Labor Force-placed, answered ADS",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_LFESF,"Labor Force-labor force, earner status (female)",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_FAMREL,Demographic-family relationship,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFNOEM,Labor Force-number of employed,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD7,Labor Force-other,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD2,Labor Force-private emp. agency,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXTELINT,Household-telephone interview acceptable (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD1,Labor Force-public employment agency,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_LFESM,"Labor Force-labor force, earner status (male)",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD4,Labor Force-friends/relatives,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXRESPNM,Household-line no. hhld resp. (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_MTHD3,Labor Force-employer,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_CIVLF,Labor Force-civilian labor force,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_ABSREA,"Labor Force-reasons for absence, pay status",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_LOSTIM,"Labor Force-lost time, time off from work",,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_WANTJB,Labor Force-want regular job,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_RECTYP,Demographic-record type,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_EARNRT,Earnings-interviewer check item,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HG_MSAC,Geography-FIPS code,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HXTYPEBC,Household-type b/c (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HG_MSAR,Geography-rank,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFNOUN,Labor Force-number of unemployed,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_RRP,Demographic-relationship to reference person,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_WHYLK,Labor Force-reasons why looking for work,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_FTPT,School Enrollment-f/t or p/t student,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXORIGIN,Demographic-origin (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_PFWS,Labor Force-wage and salary,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXWHYLK,Labor Force-reasons why looking for work (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_LFSR,Labor Force-labor force status recode,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,HG_MSAS,Geography-MSA status,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXNLFLJ,Labor Force-work for pay (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_FTREAS,Labor Force-hours usually worked/week,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXOCC,Indus.&Occ.-occupation (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_EXPRRP,Demographic-expanded relationship code,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,A_INTEND,Labor Force-intend to look for work,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_SEASON,Household-seasonal status,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_STATUS,Household-status change,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,H_TYPE,Household-household type,,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXWHENLJ,Labor Force-last work f/t job 2+ weeks (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXSPOUSE,Demographic-spouse's line number (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXAGE,Demographic-age (allocation flag),,int,N/A,0,,1980s
cps/basic/apr,1989,Apr 1989 Current Population Survey: Basic Monthly,AXHRLYWK,Earnings-hourly wage (allocation flag),,int,N/A,0,,1980s
