dataset_name,variable_name,label,concept,predicateType
cps/basic/apr,A_HERNTF,Earnings-hourly earnings top code flag,,int
cps/basic/apr,H_MSTIND,Household-master segment tape index,,int
cps/basic/apr,HXPRSCNT,Household-number of contacts (allocation flag),,int
cps/basic/apr,AXWHYLFT,Labor Force-reason for leaving (allocation flag),,int
cps/basic/apr,AXANYWK,Labor Force-work (allocation flag),,int
cps/basic/apr,AXUSLFT,Labor Force-hours usually worked/week (allocation flag),,int
cps/basic/apr,AXENRCHK,School Enrollment-interviewer check (allocation flag),,int
cps/basic/apr,AXIND,Indus.&Occ.-industry (allocation flag),,int
cps/basic/apr,H_YEAR,"Household-year of survey, last digit",,int
cps/basic/apr,A_SPOUSE,Demographic-line number,,int
cps/basic/apr,A_LKWK,Labor Force-looking for work,,int
cps/basic/apr,A_DSCWK,Labor Force-discouraged worker flag,,int
cps/basic/apr,A_UNMEM,Earnings-labor union membership or similar association,,int
cps/basic/apr,A_HERNTP,Earnings-hourly earnings top code,,int
cps/basic/apr,A_PTHRS,Labor Force-part-time hours,,int
cps/basic/apr,A_FERNTF,Earnings-family earnings top code flag,,int
cps/basic/apr,A_NAGWS,Indus.&Occ.-non-agricultural wage and salary workers,,int
cps/basic/apr,H_HHTYPE,Household-type of household,,int
cps/basic/apr,H_LIVQRT,Household-living quarters,,int
cps/basic/apr,A_PARENT,Demographic-line number,,int
cps/basic/apr,A_FERNTP,Earnings-family earnings top coded,,int
cps/basic/apr,HXTELHHD,Household-telephone in household (allocation flag),,int
cps/basic/apr,AXLOSTIM,"Labor Force-lost time, time off from work (allocation flag)",,int
cps/basic/apr,H_TELINT,Household-telephone interview acceptable,,int
cps/basic/apr,HXTELCNT,Household-number of contacts (allocation flag),,int
cps/basic/apr,H_RESPNM,Household-line no. hhld resp.,,int
cps/basic/apr,AXRRP,Demographic-relationship to ref person (allocation flag),,int
cps/basic/apr,HG_REG,Geography-region,,int
cps/basic/apr,A_PFHHAG,Demographic-age,,int
cps/basic/apr,A_DTIND,Indus.&Occ.-detailed industry code,,int
cps/basic/apr,A_HRLYWK,Earnings-hourly wage,,int
cps/basic/apr,A_VETWGT,Weight-veteran's weight,,int
cps/basic/apr,A_UNCOV,Earnings-union/employee association contract covering,,int
cps/basic/apr,AXUNMEM,Earnings-labor union membership (allocation flag),,int
cps/basic/apr,A_FTABS,Labor Force-hours worked/week,,int
cps/basic/apr,A_FAMWGT,Weight-family weight,,int
cps/basic/apr,AXINTEND,Labor Force-intend to look for work (allocation flag),,int
cps/basic/apr,HXSTATUS,"Household-status change, replacement (allocation flag)",,int
cps/basic/apr,H_INTRV1,Household-interviewer code,,int
cps/basic/apr,H_INTRV2,Household-interviewer code,,int
cps/basic/apr,A_WHENLJ,Labor Force-last work full-time job lasting 2+ weeks,,int
cps/basic/apr,H_INTRV3,Household-interviewer code,,int
cps/basic/apr,AXFTREAS,Labor Force-hours usually worked/week (allocation flag),,int
cps/basic/apr,H_MIS,Household-month in sample,,int
cps/basic/apr,A_NLFREA,Labor Force-current activity/reason,,int
cps/basic/apr,A_HGA,"Demographic-highest dgree, grade completed",,int
cps/basic/apr,A_HGC,Grade Completed?,,int
cps/basic/apr,H_TYPERP,Household-type of reference person,,int
cps/basic/apr,AXFTPT,School Enrollment-f/t or p/t student (allocation flag),,int
cps/basic/apr,HXSEASON,Household-seasonal status (allocation flag),,int
cps/basic/apr,H_TYPEBC,Household-type B/C,,int
cps/basic/apr,H_FARM,Household-farm/nonfarm,,int
cps/basic/apr,AXLFSR,Labor Force-labor force status recode (allocation flag),,int
cps/basic/aug,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cps/basic/aug,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cps/basic/aug,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,ucgid
cps/basic/aug,HG_FIPS,Geography-FIPS state code,,Unknown
cps/basic/aug,AXWHYNL,Labor Force-reasons not looking for work (allocation flag),,int
cps/basic/aug,A_UNTYPE,Labor Force-reason,,int
cps/basic/aug,H_TENURE,Household-tenure,,int
cps/basic/aug,AXWHYNA,Labor Force-why not (allocation flag),,int
cps/basic/aug,A_ENRLW,School Enrollment-enrolled/attending an inst. of educ.,,int
cps/basic/aug,HXLIVQRT,Household-living quarters (allocation flag),,int
cps/basic/aug,A_PFFTPT,Labor Force-full-time/part-time status,,int
cps/basic/aug,AXMAJACT,Labor Force-activities last week (allocation flag),,int
cps/basic/aug,A_AGE,Demographic-age,,int
cps/basic/aug,AXHSCOL,School Enrollment-institution (allocation flag),,int
cps/basic/aug,AXPARENT,Demographic-parent's line number (allocation flag),,int
cps/basic/aug,AXHGC,Allocation Flag for A_HGC,,int
cps/basic/aug,A_OCC,Indus.&Occ.-(main job)occupation code,,int
cps/basic/aug,A_FAMNUM,Demographic-family number,,int
cps/basic/aug,A_CLSWKR,Indus.&Occ.-class of worker,,int
cps/basic/aug,AXHGA,"Demographic-highest deg., grade completed (allocation flag)",,int
cps/basic/aug,A_HRSCHK,Labor Force-interviewer check,,int
cps/basic/aug,A_CHKWJ,Indus.&Occ.-interviewer check item,,int
cps/basic/aug,HG_CMSA,Geography-CMSA code,,int
cps/basic/aug,A_EXPLF,Labor Force-employment status,,int
cps/basic/aug,A_FTLF,Labor Force-f/t labor force,,int
cps/basic/aug,A_HRS1,Labor Force-total hours worked,,int
cps/basic/aug,AXUSLHRS,Earnings-hours/week worked (allocation flag),,int
cps/basic/aug,A_RACE,Demographic-race,,int
cps/basic/aug,A_MJOCC,Indus.&Occ.-major occupation code,,int
cps/basic/aug,A_OVRTIM,Labor Force-overtime worked,,int
cps/basic/aug,AXFTABS,Labor Force-hours worked/week (allocation flag),,int
cps/basic/aug,AXPAYABS,Labor Force-paid absences (allocation flag),,int
cps/basic/aug,H_ID,Household-unique household identifier,,string
cps/basic/aug,AXCLSWKR,Indus.&Occ.-class of worker (allocation flag),,int
cps/basic/aug,HXTELAVL,Household-telephone available (allocation flag),,int
cps/basic/aug,AXVET,Demographic-veteran status (allocation flag),,int
cps/basic/aug,HXHHNUM,Household-household number (allocation flag),,int
cps/basic/aug,A_USLFT,Labor Force-hours usually worked/week,,int
cps/basic/aug,A_WKSCH,Labor Force-time worked/lost,,int
cps/basic/aug,A_HSCOL,School Enrollment-institution,,int
cps/basic/aug,A_PFREL,Demographic-primary family relationship,,int
cps/basic/aug,AXRACE,Demographic-race (allocation flag),,int
cps/basic/aug,A_ANYWK,Labor Force-work,,int
cps/basic/aug,A_EMP,Labor Force-employed persons,,int
cps/basic/aug,H_TIMINT,Household-time of interview,,int
cps/basic/aug,AXWKSLK,Labor Force-number of weeks laid off (allocation flag),,int
cps/basic/aug,H_TYPINT,Household-type interview,,int
cps/basic/aug,AXMTHD,Labor Force-attempts to look for work (allocation flag),,int
cps/basic/aug,A_LKFTPT,Labor Force-full-time/part-time,,int
cps/basic/aug,AXJOBABS,Labor Force-absence from job (allocation flag),,int
cps/basic/aug,AXHRSCHK,Labor Force-interviewer check (allocation flag),,int
cps/basic/aug,AXLINENO,Demographic-line number (allocation flag),,int
cps/basic/aug,H_METSTA,Geography-metropolitan/non-metropolitan,,int
cps/basic/aug,HXOCCINT,Household-unit occupancy (allocation flag),,int
cps/basic/aug,A_SEX,Demographic-sex,,int
cps/basic/aug,A_PFNOCD,Demographic-# of children < 18,,int
cps/basic/aug,H_DAYCMP,Household-day interview complete,,int
cps/basic/aug,HG_MSSZ,Geography-MSA size,,int
cps/basic/aug,H_FAMINC,Household-family income,,int
cps/basic/aug,AXHRSPAY,Earnings-hourly earnings (allocation flag),,int
cps/basic/aug,A_PFSIZE,Demographic-size,,int
cps/basic/aug,H_MONTH,Household-month of survey,,int
cps/basic/aug,A_DTOCC,Indus.&Occ.-detailed occupation code,,int
cps/basic/aug,HXTIMINT,Household-time of interview (allocation flag),,int
cps/basic/aug,A_WHYNA,Labor Force-why not,,int
cps/basic/aug,AXAVAIL,Labor Force-available job (allocation flag),,int
cps/basic/aug,A_AG_NA,"Indus.&Occ.-agriculture, non-agriculture",,int
cps/basic/aug,AXLKWK,Labor Force-looking for work (allocation flag),,int
cps/basic/aug,AXENRLW,School Enrollment-enrolled/attend a school(allocation flag),,int
cps/basic/aug,A_ERNEL,Earnings-eligibility,,int
cps/basic/aug,H_CPSCHK,Household-interviewer check item,,int
cps/basic/aug,A_PFPRCD,Demographic-children < 18 in primary family,,int
cps/basic/aug,H_TELAVL,Household-telephone available,,int
cps/basic/aug,A_WKSTAT,Labor Force-full/part-time status,,int
cps/basic/aug,HXAREASN,Household-reason (allocation flag),,int
cps/basic/aug,A_MTHD6,Labor Force-nothing,,int
cps/basic/aug,A_MTHD5,"Labor Force-placed, answered ADS",,int
cps/basic/aug,A_LFESF,"Labor Force-labor force, earner status (female)",,int
cps/basic/aug,A_FAMREL,Demographic-family relationship,,int
cps/basic/aug,A_PFNOEM,Labor Force-number of employed,,int
cps/basic/aug,A_MTHD7,Labor Force-other,,int
cps/basic/aug,A_MTHD2,Labor Force-private emp. agency,,int
cps/basic/aug,HXTELINT,Household-telephone interview acceptable (allocation flag),,int
cps/basic/aug,A_MTHD1,Labor Force-public employment agency,,int
cps/basic/aug,A_LFESM,"Labor Force-labor force, earner status (male)",,int
cps/basic/aug,A_MTHD4,Labor Force-friends/relatives,,int
cps/basic/aug,HXRESPNM,Household-line no. hhld resp. (allocation flag),,int
cps/basic/aug,A_MTHD3,Labor Force-employer,,int
cps/basic/aug,A_CIVLF,Labor Force-civilian labor force,,int
cps/basic/aug,A_ABSREA,"Labor Force-reasons for absence, pay status",,int
cps/basic/aug,A_LOSTIM,"Labor Force-lost time, time off from work",,int
cps/basic/aug,A_WANTJB,Labor Force-want regular job,,int
cps/basic/aug,A_RECTYP,Demographic-record type,,int
